t	s	i
7.5	0.825138	0.0251385
7.51	0.825095	0.0250954
7.52	0.825052	0.0250524
7.53	0.82501	0.0250095
7.54	0.824967	0.0249667
7.55	0.824924	0.0249239
7.56	0.824881	0.0248813
7.57	0.824839	0.0248387
7.58	0.824796	0.0247962
7.59	0.824754	0.0247537
7.6	0.824711	0.0247113
7.61	0.824669	0.0246691
7.62	0.824627	0.0246269
7.63	0.824585	0.0245847
7.64	0.824543	0.0245427
7.65	0.824501	0.0245007
7.66	0.824459	0.0244588
7.67	0.824417	0.024417
7.68	0.824375	0.0243752
7.69	0.824334	0.0243335
7.7	0.824292	0.0242919
7.71	0.82425	0.0242504
7.72	0.824209	0.024209
7.73	0.824168	0.0241676
7.74	0.824126	0.0241263
7.75	0.824085	0.0240851
7.76	0.824044	0.0240439
7.77	0.824003	0.0240029
7.78	0.823962	0.0239619
7.79	0.823921	0.0239209
7.8	0.82388	0.0238801
7.81	0.823839	0.0238393
7.82	0.823799	0.0237986
7.83	0.823758	0.023758
7.84	0.823717	0.0237174
7.85	0.823677	0.023677
7.86	0.823637	0.0236365
7.87	0.823596	0.0235962
7.88	0.823556	0.023556
7.89	0.823516	0.0235158
7.9	0.823476	0.0234757
7.91	0.823436	0.0234356
7.92	0.823396	0.0233956
7.93	0.823356	0.0233558
7.94	0.823316	0.0233159
7.95	0.823276	0.0232762
7.96	0.823236	0.0232365
7.97	0.823197	0.0231969
7.98	0.823157	0.0231574
7.99	0.823118	0.0231179
8	0.823078	0.0230785
8.01	0.823039	0.0230392
8.02	0.823	0.0229999
8.03	0.822961	0.0229607
8.04	0.822922	0.0229216
8.05	0.822883	0.0228826
8.06	0.822844	0.0228436
8.07	0.822805	0.0228047
8.08	0.822766	0.0227659
8.09	0.822727	0.0227271
8.1	0.822688	0.0226885
8.11	0.82265	0.0226498
8.12	0.822611	0.0226113
8.13	0.822573	0.0225728
8.14	0.822534	0.0225344
8.15	0.822496	0.0224961
8.16	0.822458	0.0224578
8.17	0.82242	0.0224196
8.18	0.822381	0.0223815
8.19	0.822343	0.0223434
8.2	0.822305	0.0223054
8.21	0.822267	0.0222675
8.22	0.82223	0.0222296
8.23	0.822192	0.0221918
8.24	0.822154	0.0221541
8.25	0.822116	0.0221164
8.26	0.822079	0.0220788
8.27	0.822041	0.0220413
8.28	0.822004	0.0220039
8.29	0.821966	0.0219665
8.3	0.821929	0.0219292
8.31	0.821892	0.0218919
8.32	0.821855	0.0218547
8.33	0.821818	0.0218176
8.34	0.821781	0.0217806
8.35	0.821744	0.0217436
8.36	0.821707	0.0217067
8.37	0.82167	0.0216698
8.38	0.821633	0.021633
8.39	0.821596	0.0215963
8.4	0.82156	0.0215597
8.41	0.821523	0.0215231
8.42	0.821487	0.0214866
8.43	0.82145	0.0214501
8.44	0.821414	0.0214137
8.45	0.821377	0.0213774
8.46	0.821341	0.0213411
8.47	0.821305	0.0213049
8.48	0.821269	0.0212688
8.49	0.821233	0.0212327
8.5	0.821197	0.0211967
8.51	0.821161	0.0211608
8.52	0.821125	0.0211249
8.53	0.821089	0.0210891
8.54	0.821053	0.0210534
8.55	0.821018	0.0210177
8.56	0.820982	0.0209821
8.57	0.820947	0.0209465
8.58	0.820911	0.020911
8.59	0.820876	0.0208756
8.6	0.82084	0.0208402
8.61	0.820805	0.0208049
8.62	0.82077	0.0207697
8.63	0.820735	0.0207345
8.64	0.820699	0.0206994
8.65	0.820664	0.0206644
8.66	0.820629	0.0206294
8.67	0.820594	0.0205945
8.68	0.82056	0.0205596
8.69	0.820525	0.0205248
8.7	0.82049	0.0204901
8.71	0.820455	0.0204554
8.72	0.820421	0.0204208
8.73	0.820386	0.0203862
8.74	0.820352	0.0203518
8.75	0.820317	0.0203173
